"","commute","county","cz","state","mobility","top1pc_share","gini","teen_birthrate","par_inc_median","kid_inc_median","mobility_hi","commute_hi"
"729",15.43052236,"Calhoun","Fort Dodge","Iowa",54.43375,0.04592,0.24042,0.07076,58100,52700,1,0
"730",16.38617464,"Carroll","Carroll","Iowa",59.76425,0.072,0.28873,0.06722,59900,58400,1,0
"731",16.55047847,"Cass","Atlantic","Iowa",52.38675,0.07374,0.30161,0.1261,54800,47100,1,0
"732",17.14697596,"Cedar","Iowa City","Iowa",51.79475,0.03981,0.24976,0.08966,64100,50400,1,0
"733",18.66987415,"Cerro Gordo","Mason City","Iowa",48.66275,0.09798,0.36893,0.10417,64800,44700,1,0
"734",15.94794898,"Cherokee","Storm Lake","Iowa",55.148,0.05269,0.26448,0.09982,57600,57500,1,0
"735",16.73803473,"Chickasaw","Decorah","Iowa",56.953,0.16472,0.34601,0.08374,58200,57200,1,0
"736",20.35887194,"Clarke","Creston","Iowa",49.18325,0.05168,0.24333,0.16393,57200,43700,1,0
"737",18.43471938,"Clay","Spencer","Iowa",49.69475,0.1455,0.36463,0.08387,62800,48200,1,0
"738",18.46605396,"Clayton","Dubuque","Iowa",55.32375,0.08534,0.31356,0.08527,54000,50500,1,0
"739",19.81187969,"Clinton","Clinton","Iowa",46.90875,0.07243,0.30614,0.12477,69000,44500,1,0
"740",15.79839988,"Crawford","Carroll","Iowa",54.98775,0.06196,0.30106,0.11392,53400,52500,1,0
"741",22.57482773,"Dallas","Des Moines","Iowa",48.5055,0.07672,0.31843,0.09592,73400,45700,1,1
"742",19.62639776,"Davis","Ottumwa","Iowa",51.14025,0.04474,0.27784,0.10909,53700,44700,1,0
"743",14.62538593,"Decatur","Creston","Iowa",46.427,0.04624,0.24979,0.17836,41200,35600,1,0
"744",18.35027684,"Delaware","Dubuque","Iowa",56.32675,0.06326,0.27262,0.07924,61200,54900,1,0
"745",19.21191623,"Des Moines","Burlington","Iowa",41.621,0.09852,0.35006,0.13823,68800,39500,0,0
"746",17.07579998,"Dickinson","Spencer","Iowa",51.258,0.15577,0.46009,0.08507,58000,43500,1,0
"747",19.54275964,"Dubuque","Dubuque","Iowa",52.68125,0.13817,0.34614,0.09184,71800,53700,1,0
"748",16.92099057,"Emmet","Fairmont","Iowa",54.01775,0.0497,0.25374,0.11039,53700,50900,1,0
"749",17.32987889,"Fayette","Waterloo","Iowa",53.9355,0.0663,0.27375,0.09698,54300,52600,1,0
"750",17.06230173,"Floyd","Decorah","Iowa",53.3705,0.08743,0.32184,0.09286,59700,50100,1,0
"751",15.58261287,"Franklin","Iowa Falls","Iowa",49.2745,0.18911,0.3999,0.14286,55000,44800,1,0
"752",17.35397582,"Fremont","Red Oak","Iowa",50.52625,0.03321,0.22217,0.10452,56800,46800,1,0
"753",15.61623863,"Greene","Carroll","Iowa",48.511,0.05442,0.30082,0.1125,53600,42700,1,0
"754",16.18671679,"Grundy","Waterloo","Iowa",54.804,0.04216,0.22701,0.08068,67100,56000,1,0
"755",19.63109756,"Guthrie","Des Moines","Iowa",50.9695,0.05604,0.27751,0.11538,56400,46200,1,0
"756",16.85956728,"Hamilton","Fort Dodge","Iowa",49.40625,0.07548,0.25167,0.08976,63200,45400,1,0
"757",17.25100491,"Hancock","Mason City","Iowa",55.06525,0.04787,0.20403,0.11552,58000,53300,1,0
"758",16.75704315,"Hardin","Iowa Falls","Iowa",53.301,0.04897,0.25593,0.10677,57800,51100,1,0
"759",19.18497243,"Harrison","Omaha","Iowa",50.496,0.04791,0.25946,0.10818,59700,46100,1,0
"760",22.4192445,"Henry","Burlington","Iowa",51.85575,0.08492,0.29561,0.13455,63800,45700,1,1
"761",15.05400572,"Howard","Decorah","Iowa",58.3605,0.05201,0.23539,0.09125,53600,50400,1,0
"762",16.40424148,"Humboldt","Fort Dodge","Iowa",55.21375,0.06115,0.28417,0.0819,59600,51600,1,0
"763",17.60509307,"Ida","Storm Lake","Iowa",55.78825,0.1081,0.33956,0.1039,54000,53200,1,0
"764",23.52807061,"Iowa","Cedar Rapids","Iowa",54.723,0.17531,0.36057,0.0776,67900,50900,1,1
"765",15.61972789,"Jackson","Clinton","Iowa",51.071,0.07151,0.29494,0.08705,56500,47500,1,0
"766",17.40285559,"Jasper","Marshalltown","Iowa",48.90875,0.12932,0.30917,0.13333,71200,43800,1,0
"767",17.6759556,"Jefferson","Ottumwa","Iowa",49.3155,0.28875,0.60971,0.08517,58900,42300,1,0
"768",22.27256659,"Johnson","Iowa City","Iowa",45.88675,0.17005,0.3713,0.06696,87000,46000,1,1
"769",17.53167939,"Jones","Cedar Rapids","Iowa",51.6125,0.06573,0.26591,0.09299,58100,48800,1,0
"770",18.16125171,"Keokuk","Ottumwa","Iowa",54.365,0.06727,0.26016,0.12313,55300,50600,1,0
"771",15.16541353,"Kossuth","Spencer","Iowa",58.4955,0.06466,0.27601,0.07266,55100,54000,1,0
"772",18.83272005,"Lee","Burlington","Iowa",44.73275,0.06219,0.31381,0.1261,64600,40200,1,0
"773",21.64289053,"Linn","Cedar Rapids","Iowa",45.35425,0.10457,0.33221,0.09897,81500,44800,1,0
"774",20.4826286,"Louisa","Iowa City","Iowa",48.2755,0.04296,0.25776,0.1643,64200,45300,1,0
"775",20.48079721,"Lucas","Centerville","Iowa",51.77125,0.07565,0.31188,0.10027,52800,45500,1,0
"776",15.92507606,"Lyon","Sioux Center","Iowa",60.04375,0.04906,0.24037,0.08711,54700,57500,1,0
"777",18.71931283,"Madison","Des Moines","Iowa",48.872,0.07188,0.2835,0.10671,66300,46100,1,0
"778",17.22055122,"Mahaska","Ottumwa","Iowa",50.298,0.06822,0.30262,0.11008,57200,45600,1,0
"779",20.23582913,"Marion","Ottumwa","Iowa",50.48675,0.08878,0.27459,0.10068,70400,50400,1,0
"780",19.65980436,"Marshall","Marshalltown","Iowa",45.81525,0.0887,0.32025,0.15444,67700,45000,1,0
"781",17.21511199,"Mills","Omaha","Iowa",48.80875,0.37904,0.50775,0.11167,65000,44000,1,0
"782",15.16449145,"Mitchell","Decorah","Iowa",56.70575,0.08145,0.2844,0.10327,56900,52500,1,0
"783",18.34959476,"Monona","Sioux City","Iowa",49.20475,0.07787,0.33471,0.13959,50700,43500,1,0
"784",24.84577978,"Monroe","Ottumwa","Iowa",51.92275,0.05317,0.30406,0.125,47400,43600,1,1
